"Product title";"Handle";"Product URL";"Shopify product ID";"Rollenbreiten";"Anzahl echter Varianten";"Anzahl opc-* Varianten";"Empfehlung Google & YouTube";"Grund"
"Solvana Teppichboden 400cm 500cm";"solvana-teppichboden-400cm-500cm";"https://www.teppich-paradies.net/products/solvana-teppichboden-400cm-500cm";"15982978367822";"4,00 m | 5,00 m";"16";"0";"EXCLUDE";"Dynamisch berechneter Gesamtpreis / Grundpreis €/m² entspricht nicht dem direkt kaufbaren Mindestgesamtpreis."
"Solvana Teppichboden 400cm 500cm";"solvana-teppichboden-400cm-500cm-1";"https://www.teppich-paradies.net/products/solvana-teppichboden-400cm-500cm-1";"15983223472462";"4,00 m | 5,00 m";"30";"0";"EXCLUDE";"Dynamisch berechneter Gesamtpreis / Grundpreis €/m² entspricht nicht dem direkt kaufbaren Mindestgesamtpreis."
"Tamira Teppichboden 400cm 500cm";"tamira-teppichboden-400cm-500cm";"https://www.teppich-paradies.net/products/tamira-teppichboden-400cm-500cm";"15982989214030";"4,00 m | 5,00 m";"20";"0";"EXCLUDE";"Dynamisch berechneter Gesamtpreis / Grundpreis €/m² entspricht nicht dem direkt kaufbaren Mindestgesamtpreis."
"Tarona Teppichboden 400cm 500cm";"tarona-teppichboden-400cm-500cm";"https://www.teppich-paradies.net/products/tarona-teppichboden-400cm-500cm";"15982992982350";"4,00 m | 5,00 m";"8";"0";"EXCLUDE";"Dynamisch berechneter Gesamtpreis / Grundpreis €/m² entspricht nicht dem direkt kaufbaren Mindestgesamtpreis."
"Tavora Teppichboden";"tavora-teppichboden";"https://www.teppich-paradies.net/products/tavora-teppichboden";"10420114686286";"4,00 m";"15";"6";"EXCLUDE";"Dynamisch berechneter Gesamtpreis / Grundpreis €/m² entspricht nicht dem direkt kaufbaren Mindestgesamtpreis."
"Torvana Teppichboden 400cm 500cm";"torvana-teppichboden-400cm-500cm";"https://www.teppich-paradies.net/products/torvana-teppichboden-400cm-500cm";"15983222161742";"4,00 m | 5,00 m";"36";"0";"EXCLUDE";"Dynamisch berechneter Gesamtpreis / Grundpreis €/m² entspricht nicht dem direkt kaufbaren Mindestgesamtpreis."
"Granitera Eiche Goldbraun â€“ Vinylboden von der Rolle";"traxano-eiche-goldbraun-vinylboden-von-der-rolle";"https://www.teppich-paradies.net/products/traxano-eiche-goldbraun-vinylboden-von-der-rolle";"15982372028750";"2,00 m | 4,00 m";"2";"0";"EXCLUDE";"Dynamisch berechneter Gesamtpreis / Grundpreis €/m² entspricht nicht dem direkt kaufbaren Mindestgesamtpreis."
"Granitera Eiche Grau Hell â€“ Vinylboden von der Rolle";"traxano-eiche-grau-hell-vinylboden-von-der-rolle";"https://www.teppich-paradies.net/products/traxano-eiche-grau-hell-vinylboden-von-der-rolle";"15982371963214";"2,00 m | 4,00 m";"2";"0";"EXCLUDE";"Dynamisch berechneter Gesamtpreis / Grundpreis €/m² entspricht nicht dem direkt kaufbaren Mindestgesamtpreis."
"Granitera Eiche Honigbraun â€“ Vinylboden von der Rolle";"traxano-eiche-honigbraun-vinylboden-von-der-rolle";"https://www.teppich-paradies.net/products/traxano-eiche-honigbraun-vinylboden-von-der-rolle";"15982371406158";"2,00 m | 4,00 m";"2";"0";"EXCLUDE";"Dynamisch berechneter Gesamtpreis / Grundpreis €/m² entspricht nicht dem direkt kaufbaren Mindestgesamtpreis."
"Granitera Eiche Karamell â€“ Vinylboden von der Rolle";"traxano-eiche-karamell-vinylboden-von-der-rolle";"https://www.teppich-paradies.net/products/traxano-eiche-karamell-vinylboden-von-der-rolle";"15982372946254";"2,00 m | 4,00 m";"2";"0";"EXCLUDE";"Dynamisch berechneter Gesamtpreis / Grundpreis €/m² entspricht nicht dem direkt kaufbaren Mindestgesamtpreis."
"Granitera Eiche Mittelbraun â€“ Vinylboden von der Rolle";"traxano-eiche-mittelbraun-vinylboden-von-der-rolle";"https://www.teppich-paradies.net/products/traxano-eiche-mittelbraun-vinylboden-von-der-rolle";"15982041858382";"2,00 m | 4,00 m";"2";"0";"EXCLUDE";"Dynamisch berechneter Gesamtpreis / Grundpreis €/m² entspricht nicht dem direkt kaufbaren Mindestgesamtpreis."
"Granitera Eiche Naturbraun â€“ Vinylboden von der Rolle";"traxano-eiche-naturbraun-vinylboden-von-der-rolle";"https://www.teppich-paradies.net/products/traxano-eiche-naturbraun-vinylboden-von-der-rolle";"15982371602766";"2,00 m | 4,00 m";"2";"0";"EXCLUDE";"Dynamisch berechneter Gesamtpreis / Grundpreis €/m² entspricht nicht dem direkt kaufbaren Mindestgesamtpreis."
"Granitera Eiche Sandbraun â€“ Vinylboden von der Rolle";"traxano-eiche-sandbraun-vinylboden-von-der-rolle";"https://www.teppich-paradies.net/products/traxano-eiche-sandbraun-vinylboden-von-der-rolle";"15982371668302";"2,00 m | 4,00 m";"2";"0";"EXCLUDE";"Dynamisch berechneter Gesamtpreis / Grundpreis €/m² entspricht nicht dem direkt kaufbaren Mindestgesamtpreis."
"Granitera Eiche Taupe â€“ Vinylboden von der Rolle";"traxano-eiche-taupe-vinylboden-von-der-rolle";"https://www.teppich-paradies.net/products/traxano-eiche-taupe-vinylboden-von-der-rolle";"15982371701070";"2,00 m | 4,00 m";"2";"0";"EXCLUDE";"Dynamisch berechneter Gesamtpreis / Grundpreis €/m² entspricht nicht dem direkt kaufbaren Mindestgesamtpreis."
"Granitera Granit Beige â€“ Vinylboden von der Rolle";"traxano-granit-beige-vinylboden-von-der-rolle";"https://www.teppich-paradies.net/products/traxano-granit-beige-vinylboden-von-der-rolle";"15982371799374";"2,00 m | 4,00 m";"2";"0";"EXCLUDE";"Dynamisch berechneter Gesamtpreis / Grundpreis €/m² entspricht nicht dem direkt kaufbaren Mindestgesamtpreis."
"Granitera Granit Grau â€“ Vinylboden von der Rolle";"traxano-granit-grau-vinylboden-von-der-rolle";"https://www.teppich-paradies.net/products/traxano-granit-grau-vinylboden-von-der-rolle";"15982372159822";"2,00 m | 4,00 m";"2";"0";"EXCLUDE";"Dynamisch berechneter Gesamtpreis / Grundpreis €/m² entspricht nicht dem direkt kaufbaren Mindestgesamtpreis."
"Granitera Granit Hellgrau â€“ Vinylboden von der Rolle";"traxano-granit-hellgrau-vinylboden-von-der-rolle";"https://www.teppich-paradies.net/products/traxano-granit-hellgrau-vinylboden-von-der-rolle";"15982373044558";"2,00 m | 4,00 m";"2";"0";"EXCLUDE";"Dynamisch berechneter Gesamtpreis / Grundpreis €/m² entspricht nicht dem direkt kaufbaren Mindestgesamtpreis."
"Granitera Granit Sandbeige â€“ Vinylboden von der Rolle";"traxano-granit-sandbeige-vinylboden-von-der-rolle";"https://www.teppich-paradies.net/products/traxano-granit-sandbeige-vinylboden-von-der-rolle";"15982372094286";"2,00 m | 4,00 m";"2";"0";"EXCLUDE";"Dynamisch berechneter Gesamtpreis / Grundpreis €/m² entspricht nicht dem direkt kaufbaren Mindestgesamtpreis."
"Granitera Granit Taupe â€“ Vinylboden von der Rolle";"traxano-granit-taupe-vinylboden-von-der-rolle";"https://www.teppich-paradies.net/products/traxano-granit-taupe-vinylboden-von-der-rolle";"15982371832142";"2,00 m | 4,00 m";"2";"0";"EXCLUDE";"Dynamisch berechneter Gesamtpreis / Grundpreis €/m² entspricht nicht dem direkt kaufbaren Mindestgesamtpreis."
"Vallora Teppichboden 400cm 500cm";"vallora-teppichboden-400cm-500cm";"https://www.teppich-paradies.net/products/vallora-teppichboden-400cm-500cm";"15982984954190";"4,00 m | 5,00 m";"40";"0";"EXCLUDE";"Dynamisch berechneter Gesamtpreis / Grundpreis €/m² entspricht nicht dem direkt kaufbaren Mindestgesamtpreis."
"Vantana Teppichboden 400cm 500cm";"vantana-teppichboden-400cm-500cm";"https://www.teppich-paradies.net/products/vantana-teppichboden-400cm-500cm";"15983218557262";"4,00 m | 5,00 m";"35";"0";"EXCLUDE";"Dynamisch berechneter Gesamtpreis / Grundpreis €/m² entspricht nicht dem direkt kaufbaren Mindestgesamtpreis."
"Velluna Teppichboden 400cm 500cm";"velano-teppichboden-400cm-500cm";"https://www.teppich-paradies.net/products/velano-teppichboden-400cm-500cm";"15982691811662";"4,00 m | 5,00 m";"24";"0";"EXCLUDE";"Dynamisch berechneter Gesamtpreis / Grundpreis €/m² entspricht nicht dem direkt kaufbaren Mindestgesamtpreis."
"Vellana Teppichboden 400cm 500cm";"vellana-teppichboden-400cm-500cm";"https://www.teppich-paradies.net/products/vellana-teppichboden-400cm-500cm";"15983034532174";"4,00 m | 5,00 m";"12";"0";"EXCLUDE";"Dynamisch berechneter Gesamtpreis / Grundpreis €/m² entspricht nicht dem direkt kaufbaren Mindestgesamtpreis."
"Velory Teppichboden 400cm 500cm";"velory-teppichboden-400cm-500cm";"https://www.teppich-paradies.net/products/velory-teppichboden-400cm-500cm";"15983226257742";"4,00 m | 5,00 m";"24";"0";"EXCLUDE";"Dynamisch berechneter Gesamtpreis / Grundpreis €/m² entspricht nicht dem direkt kaufbaren Mindestgesamtpreis."
"Serena Teppichboden 400cm 500cm";"verano-teppichboden-400cm-500cm";"https://www.teppich-paradies.net/products/verano-teppichboden-400cm-500cm";"15982671167822";"4,00 m | 5,00 m";"20";"0";"EXCLUDE";"Dynamisch berechneter Gesamtpreis / Grundpreis €/m² entspricht nicht dem direkt kaufbaren Mindestgesamtpreis."
"Eichwald Eiche Beige â€“ Vinylboden von der Rolle";"verdano-eiche-beige-vinylboden-von-der-rolle";"https://www.teppich-paradies.net/products/verdano-eiche-beige-vinylboden-von-der-rolle";"15982151893326";"2,00 m | 4,00 m";"2";"0";"EXCLUDE";"Dynamisch berechneter Gesamtpreis / Grundpreis €/m² entspricht nicht dem direkt kaufbaren Mindestgesamtpreis."
"Eichwald Eiche Dunkelbraun â€“ Vinylboden von der Rolle";"verdano-eiche-dunkelbraun-vinylboden-von-der-rolle";"https://www.teppich-paradies.net/products/verdano-eiche-dunkelbraun-vinylboden-von-der-rolle";"15982150648142";"2,00 m | 4,00 m";"2";"0";"EXCLUDE";"Dynamisch berechneter Gesamtpreis / Grundpreis €/m² entspricht nicht dem direkt kaufbaren Mindestgesamtpreis."
"Eichwald Eiche Goldeiche â€“ Vinylboden von der Rolle";"verdano-eiche-goldeiche-vinylboden-von-der-rolle";"https://www.teppich-paradies.net/products/verdano-eiche-goldeiche-vinylboden-von-der-rolle";"15982154383694";"2,00 m | 4,00 m";"2";"0";"EXCLUDE";"Dynamisch berechneter Gesamtpreis / Grundpreis €/m² entspricht nicht dem direkt kaufbaren Mindestgesamtpreis."
"Eichwald Eiche Grau â€“ Vinylboden von der Rolle";"verdano-eiche-grau-vinylboden-von-der-rolle";"https://www.teppich-paradies.net/products/verdano-eiche-grau-vinylboden-von-der-rolle";"15982153728334";"2,00 m | 4,00 m";"2";"0";"EXCLUDE";"Dynamisch berechneter Gesamtpreis / Grundpreis €/m² entspricht nicht dem direkt kaufbaren Mindestgesamtpreis."
"Eichwald Eiche Greige â€“ Vinylboden von der Rolle";"verdano-eiche-greige-vinylboden-von-der-rolle";"https://www.teppich-paradies.net/products/verdano-eiche-greige-vinylboden-von-der-rolle";"15982148878670";"2,00 m | 3,00 m | 4,00 m";"3";"0";"EXCLUDE";"Dynamisch berechneter Gesamtpreis / Grundpreis €/m² entspricht nicht dem direkt kaufbaren Mindestgesamtpreis."
"Eichwald Eiche Hellbeige â€“ Vinylboden von der Rolle";"verdano-eiche-hellbeige-vinylboden-von-der-rolle";"https://www.teppich-paradies.net/products/verdano-eiche-hellbeige-vinylboden-von-der-rolle";"15982155137358";"2,00 m | 4,00 m";"2";"0";"EXCLUDE";"Dynamisch berechneter Gesamtpreis / Grundpreis €/m² entspricht nicht dem direkt kaufbaren Mindestgesamtpreis."
"Eichwald Eiche Hellgrau â€“ Vinylboden von der Rolle";"verdano-eiche-hellgrau-vinylboden-von-der-rolle";"https://www.teppich-paradies.net/products/verdano-eiche-hellgrau-vinylboden-von-der-rolle";"15982037533006";"2,00 m | 3,00 m | 4,00 m";"3";"0";"EXCLUDE";"Dynamisch berechneter Gesamtpreis / Grundpreis €/m² entspricht nicht dem direkt kaufbaren Mindestgesamtpreis."
"Eichwald Eiche Honig â€“ Vinylboden von der Rolle";"verdano-eiche-honig-vinylboden-von-der-rolle";"https://www.teppich-paradies.net/products/verdano-eiche-honig-vinylboden-von-der-rolle";"15982149370190";"2,00 m | 4,00 m";"2";"0";"EXCLUDE";"Dynamisch berechneter Gesamtpreis / Grundpreis €/m² entspricht nicht dem direkt kaufbaren Mindestgesamtpreis."
"Eichwald Eiche Mittelbraun â€“ Vinylboden von der Rolle";"verdano-eiche-mittelbraun-vinylboden-von-der-rolle";"https://www.teppich-paradies.net/products/verdano-eiche-mittelbraun-vinylboden-von-der-rolle";"15982153105742";"2,00 m | 4,00 m";"2";"0";"EXCLUDE";"Dynamisch berechneter Gesamtpreis / Grundpreis €/m² entspricht nicht dem direkt kaufbaren Mindestgesamtpreis."
"Eichwald Eiche Sandbeige â€“ Vinylboden von der Rolle";"verdano-eiche-sandbeige-vinylboden-von-der-rolle";"https://www.teppich-paradies.net/products/verdano-eiche-sandbeige-vinylboden-von-der-rolle";"15982151270734";"2,00 m | 4,00 m";"2";"0";"EXCLUDE";"Dynamisch berechneter Gesamtpreis / Grundpreis €/m² entspricht nicht dem direkt kaufbaren Mindestgesamtpreis."
"Eichwald Eiche Silbergrau â€“ Vinylboden von der Rolle";"verdano-eiche-silbergrau-vinylboden-von-der-rolle";"https://www.teppich-paradies.net/products/verdano-eiche-silbergrau-vinylboden-von-der-rolle";"15982152515918";"2,00 m | 3,00 m | 4,00 m";"3";"0";"EXCLUDE";"Dynamisch berechneter Gesamtpreis / Grundpreis €/m² entspricht nicht dem direkt kaufbaren Mindestgesamtpreis."
"Eichwald Eiche Taupe â€“ Vinylboden von der Rolle";"verdano-eiche-taupe-vinylboden-von-der-rolle";"https://www.teppich-paradies.net/products/verdano-eiche-taupe-vinylboden-von-der-rolle";"15982149992782";"2,00 m | 4,00 m";"2";"0";"EXCLUDE";"Dynamisch berechneter Gesamtpreis / Grundpreis €/m² entspricht nicht dem direkt kaufbaren Mindestgesamtpreis."
"Verita Teppichboden 400cm 500cm";"verita-teppichboden-400cm-500cm";"https://www.teppich-paradies.net/products/verita-teppichboden-400cm-500cm";"15982992228686";"4,00 m | 5,00 m";"14";"0";"EXCLUDE";"Dynamisch berechneter Gesamtpreis / Grundpreis €/m² entspricht nicht dem direkt kaufbaren Mindestgesamtpreis."
"Vireno Teppichboden 400cm 500cm";"vireno-teppichboden-400cm-500cm";"https://www.teppich-paradies.net/products/vireno-teppichboden-400cm-500cm";"15983228485966";"4,00 m | 5,00 m";"28";"0";"EXCLUDE";"Dynamisch berechneter Gesamtpreis / Grundpreis €/m² entspricht nicht dem direkt kaufbaren Mindestgesamtpreis."
"Vivera Teppichboden 400cm 500cm";"vivera-teppichboden-400cm-500cm";"https://www.teppich-paradies.net/products/vivera-teppichboden-400cm-500cm";"15982986264910";"4,00 m | 5,00 m";"8";"0";"EXCLUDE";"Dynamisch berechneter Gesamtpreis / Grundpreis €/m² entspricht nicht dem direkt kaufbaren Mindestgesamtpreis."
"Woolara Teppichboden 400cm 500cm";"woolara-teppichboden-400cm-500cm";"https://www.teppich-paradies.net/products/woolara-teppichboden-400cm-500cm";"15983035187534";"4,00 m | 5,00 m";"10";"0";"EXCLUDE";"Dynamisch berechneter Gesamtpreis / Grundpreis €/m² entspricht nicht dem direkt kaufbaren Mindestgesamtpreis."
"Wovena Teppichboden 400cm 500cm";"wovena-teppichboden-400cm-500cm";"https://www.teppich-paradies.net/products/wovena-teppichboden-400cm-500cm";"15983021621582";"4,00 m | 5,00 m";"20";"0";"EXCLUDE";"Dynamisch berechneter Gesamtpreis / Grundpreis €/m² entspricht nicht dem direkt kaufbaren Mindestgesamtpreis."
"Zafira Teppichboden 400cm 500cm";"zafira-teppichboden-400cm-500cm";"https://www.teppich-paradies.net/products/zafira-teppichboden-400cm-500cm";"15983228879182";"4,00 m | 5,00 m";"18";"0";"EXCLUDE";"Dynamisch berechneter Gesamtpreis / Grundpreis €/m² entspricht nicht dem direkt kaufbaren Mindestgesamtpreis."
